park_placekey,park_name,CITY,LATITUDE,LONGITUDE,area_m2,venues,median_weekly_visits,miles_to_nearest_site,share_amenity,share_booked,share_not_parklike,suspect,screen_1_any_park,screen_2_not_nonpark,screen_3_amenities,kept_by_name,pre_2024,post_2024,pre_2025,post_2025,pct_2024,pct_2025,excess
zzz-222@5z4-rnr-9pv,Pantera Park,Diamond Bar,34.0128,-117.7905,96459.0,1,96.0,15.19,0.0,0.0,0.0,False,False,False,False,False,340.5,,,,,,
zzy-222@5z5-38b-wkz,Brand Park,Glendale,34.1829,-118.2781,123781.0,1,28.0,7.57,1.0,0.0,0.0,False,False,False,False,False,532.75,,565.25,,,,
zzz-222@5z6-3dx-8d9,Miraleste Open Space,Rancho Palos Verdes,33.7447,-118.3227,176808.0,1,152.0,12.67,0.0,0.0,0.0,False,False,False,False,False,,,,,,,
zzz-222@5z4-zwk-j7q,Ballona Creek Trail And Bike Path,Culver City,34.015,-118.3908,221661.0,2,73.0,2.4,0.0,0.0,0.0,False,False,False,False,False,,13.0,,,,,
zzz-222@5z5-34t-9vf,Story Park,Alhambra,34.1,-118.1252,30207.0,1,101.5,5.79,0.0,0.0,0.0,False,False,False,False,False,,,,,,,
zzz-222@5z6-3hg-x89,Manhattan Parkway,Manhattan Beach,33.8954,-118.4014,88348.0,1,95.0,6.77,1.0,0.0,1.0,False,False,False,False,False,,,12.0,29.5,,145.8333,
zzz-222@5z5-3v8-swk,La Puente Park,La Puente,34.0276,-117.9528,89964.0,1,104.0,7.01,1.0,0.0,1.0,False,False,False,False,False,,,,,,,
zzz-222@5z4-vv4-d5f,Valencia Heritage Park,Santa Clarita,34.4337,-118.559,71105.0,1,48.5,13.43,1.0,0.0,1.0,False,False,False,False,False,13.0,,95.0,,,,
zzz-222@5z6-3nk-vmk,Houghton Park,Long Beach,33.869,-118.1838,106678.0,1,37.0,1.32,1.0,0.0,1.0,False,False,False,False,False,,,,,,,
zzz-222@5z6-3mm-8y9,Wilderness Par,Downey,33.9359,-118.1014,88158.0,1,50.0,3.61,1.0,0.0,1.0,False,False,False,False,False,13.0,39.0,,12.0,200.0,,
22q-224@5z4-zv2-835,Marine Park,Santa Monica,34.0056,-118.4655,28121.0,1,36.0,5.94,1.0,0.0,1.0,False,False,False,False,False,13.0,13.0,24.0,,0.0,,
zzz-222@5z4-rgz-bx5,La Mirada Regional Park,La Mirada,33.9063,-118.006,309581.0,1,36.0,4.78,0.0,0.0,0.0,False,False,False,False,False,13.0,13.0,,,0.0,,
zzz-222@5z6-3hb-xwk,Live Oak Park,Manhattan Beach,33.8896,-118.4104,31192.0,1,37.0,7.33,1.0,0.0,1.0,False,False,False,False,False,13.0,,12.0,,,,
zzz-222@5z6-3pr-7h5,Algin Sutton Recreation Center,Los Angeles,33.9572,-118.2864,66606.0,1,34.5,4.69,1.0,0.0,1.0,False,False,False,False,False,19.5,,,,,,
zzz-222@5z4-vr4-8n5,Canyon Country Park,Santa Clarita,34.4189,-118.4411,71883.0,1,34.0,10.07,1.0,0.0,1.0,False,False,False,False,False,,,24.0,39.0,,62.5,
zzw-222@5z6-3d6-ghq,Cabrillo Beach,San Pedro,33.711,-118.2833,155416.0,1,34.0,13.47,1.0,0.0,1.0,False,False,False,False,False,26.0,13.0,,,-50.0,,
zzz-222@5z4-n3h-ygk,Brodiaea Reserve,Glendora,34.1608,-117.8601,1078850.0,1,24.0,17.31,0.0,0.0,0.0,False,False,False,False,False,,,,,,,
zzz-222@5z6-3mr-zcq,Norwalk Park,Norwalk,33.9094,-118.0711,62743.0,1,28.0,4.06,1.0,0.0,0.0,False,False,False,False,False,,,,47.0,,,
zzz-222@5z6-3kb-bc5,John S Simms Park,Bellflower,33.8834,-118.1317,50815.0,1,24.0,3.09,1.0,0.0,1.0,False,False,False,False,False,,,,,,,
zzz-222@5z4-n34-y7q,Marshall Canyon Conservation Corridor,La Verne,34.132,-117.7653,745144.0,1,24.0,19.93,1.0,0.0,0.0,False,False,False,False,False,,12.5,12.0,12.0,,0.0,
zzz-222@5z6-3d6-w6k,Averill Park,Los Angeles,33.7326,-118.3104,43487.0,1,20.0,12.93,1.0,0.0,1.0,False,False,False,False,False,,,,,,,
